Study Title,Year of Publication,Author,Study Sample,Comparison Groups,Blinding,Primary Outcome,Primary Outcome Results,Conclusion,GPT Summary,Study URL
Randomized Trial of BCG Vaccine to Protect against Covid-19 in Health Care Workers.,2023,Laure F Pittet et al.,3986,BCG-Denmark vaccine vs. saline placebo,Double-blind,Symptomatic Covid-19 and severe Covid-19 at 6 months,"Risk of symptomatic Covid-19 by 6 months was 14.7% in the BCG group and 12.3% in the placebo group (risk difference, 2.4 percentage points; 95% CI, -0.7 to 5.5; P = 0.13). Risk of severe Covid-19 by 6 months was 7.6% in the BCG group and 6.5% in the placebo group (risk difference, 1.1 percentage points; 95% CI, -1.2 to 3.5; P = 0.34).",Vaccination with BCG-Denmark did not result in a lower risk of Covid-19 among health care workers than placebo.,"This double-blind international study of 3986 health care workers found that vaccination with BCG-Denmark did not result in a lower risk of Covid-19 than placebo, with a risk of symptomatic Covid-19 by 6 months of 14.7% in the BCG group and 12.3% in the placebo group (risk difference, 2.4 percentage points; 95% CI, -0.7 to 5.5; P = 0.13). Risk of severe Covid-19 by 6 months was 7.6% in the BCG group and 6.5% in the placebo group (risk difference, 1.1 percentage points; 95% CI, -1.2 to 3.5; P = 0.34).",https://pubmed.ncbi.nlm.nih.gov/pubmed/37099341
Blinatumomab Added to Chemotherapy in Infant Lymphoblastic Leukemia.,2023,Inge M van der Sluis et al.,30,Blinatumomab vs Interfant-06 trial,Unspecified,Clinically relevant toxic effects,No toxic effects meeting the definition of the primary end point occurred; 10 serious adverse events reported,Blinatumomab appeared to be safe and had a high level of efficacy in infants with newly diagnosed KMT2A-rearranged ALL as compared with historical controls from the Interfant-06 trial.,"This study was an unspecified blinded trial of 30 infants with newly diagnosed KMT2A-rearranged ALL who were given the chemotherapy used in the Interfant-06 trial with the addition of one postinduction course of blinatumomab. The primary end point was clinically relevant toxic effects, and no toxic effects meeting the definition of the primary end point occurred. Two-year disease-free survival was 81.6% (95% CI, 60.8 to 92.0) and overall survival was 93.3% (95% CI, 75.9 to 98.3).",https://pubmed.ncbi.nlm.nih.gov/pubmed/37099340
"Fifteen-Year Outcomes after Monitoring, Surgery, or Radiotherapy for Prostate Cancer.",2023,Freddie C Hamdy et al.,1643,Active monitoring vs Prostatectomy vs Radiotherapy,Unspecified,Death from prostate cancer,"17 (3.1%) in the active-monitoring group, 12 (2.2%) in the prostatectomy group, and 16 (2.9%) in the radiotherapy group (P = 0.53 for the overall comparison).",Choice of therapy involves weighing trade-offs between benefits and harms associated with treatments for localized prostate cancer.,"This randomized controlled trial with a sample size of 1643 men between 50 and 69 years of age with localized prostate cancer in the United Kingdom found that after 15 years of follow-up, prostate cancer-specific mortality was low regardless of the treatment assigned. The study blinding was unspecified. The comparison groups were active monitoring, prostatectomy, and radiotherapy. The primary outcome was death from prostate cancer, which occurred in 45 men (2.7%). No differential effects on cancer-specific mortality were noted in relation to the baseline PSA level, tumor stage or grade, or risk-stratification score.",https://pubmed.ncbi.nlm.nih.gov/pubmed/36912538
"VE303, a Defined Bacterial Consortium, for Prevention of Recurrent Clostridioides difficile Infection: A Randomized Clinical Trial.",2023,Thomas Louie et al.,79,High-dose VE303 (8.0 x 109 CFUs) vs Low-dose VE303 (1.6 x 109 CFUs) vs Placebo,Unspecified,Proportion of participants with CDI recurrence at 8 weeks using a combined clinical and laboratory definition,"CDI recurrence rates through week 8 were 13.8% (4/29) for high-dose VE303, 37.0% (10/27) for low-dose VE303, and 45.5% (10/22) for placebo (P = .006, high-dose VE303 vs placebo)",High-dose VE303 prevented recurrent CDI compared with placebo.,"This was a randomized, double-blind, placebo-controlled, dose-ranging study of 79 adults aged 18 or older with laboratory-confirmed CDI with 1 or more prior CDI episodes in the last 6 months or those with primary CDI at high risk for recurrence. Participants were assigned to high-dose VE303 (8.0 x 109 CFUs), low-dose VE303 (1.6 x 109 CFUs), or placebo capsules orally once daily for 14 days. The primary outcome was the proportion of participants with CDI recurrence at 8 weeks. Results showed that CDI recurrence rates through week 8 were 13.8% for high-dose VE303, 37.0% for low-dose VE303, and 45.5% for placebo (P = .006, high-dose VE303 vs placebo), indicating that high-dose VE303 prevented recurrent CDI compared with placebo.",https://pubmed.ncbi.nlm.nih.gov/pubmed/37060545
Efficacy and Safety of Early Administration of 4-Factor Prothrombin Complex Concentrate in Patients With Trauma at Risk of Massive Transfusion: The PROCOAG Randomized Clinical Trial.,2023,Pierre Bouzat et al.,324,4F-PCC vs Saline Solution (placebo),Unspecified,24-hour all blood product consumption,"No statistically or clinically significant between-group difference in median (IQR) total 24-hour blood product consumption (12 [5-19] U in the 4F-PCC group vs 11 [6-19] U in the placebo group; absolute difference, 0.2 U [95% CI, -2.99 to 3.33]; P = .72)","Administration of 4F-PCC did not reduce 24-hour blood product consumption, but thromboembolic events were more common.","This double-blind, randomized, placebo-controlled superiority trial with an unspecified study blinding involved 324 patients with trauma at risk of massive transfusion from 12 French designated level I trauma centers. Patients were administered either 1 mL/kg of 4F-PCC or 1 mL/kg of saline solution (placebo). The primary outcome was 24-hour all blood product consumption and the secondary outcome was arterial or venous thromboembolic events. There was no significant reduction of 24-hour blood product consumption after administration of 4F-PCC, but thromboembolic events were more common (35% vs 24%; relative risk, 1.48 [95% CI, 1.04-2.10]; P = .03).",https://pubmed.ncbi.nlm.nih.gov/pubmed/36942533
"Endovascular treatment versus no endovascular treatment after 6-24 h in patients with ischaemic stroke and collateral flow on CT angiography (MR CLEAN-LATE) in the Netherlands: a multicentre, open-label, blinded-endpoint, randomised, controlled, phase 3 trial.",2023,Susanne G H Olthuis et al.,535,Endovascular treatment vs no endovascular treatment,Unspecified,Modified Rankin Scale (mRS) score at 90 days after randomisation,Median mRS score at 90 days was lower in the endovascular treatment group than in the control group (3 [IQR 2-5] vs 4 [2-6]); adjusted common OR 1·67 [95% CI 1·20-2·32],"Endovascular treatment was efficacious and safe for patients with ischaemic stroke caused by an anterior circulation large-vessel occlusion who presented 6-24 h from onset or last seen well, and who were selected on the basis of the presence of collateral flow on CTA.","This was an open-label, blinded-endpoint, randomised, controlled, phase 3 trial with a sample size of 535 patients with ischaemic stroke caused by an anterior circulation large-vessel occlusion. Patients were randomly assigned to receive endovascular treatment or no endovascular treatment (control) in addition to best medical treatment. Results showed that endovascular treatment was efficacious and safe, with a median mRS score at 90 days being lower in the endovascular treatment group than in the control group (3 [IQR 2-5] vs 4 [2-6]); adjusted common OR 1·67 [95% CI 1·20-2·32].",https://pubmed.ncbi.nlm.nih.gov/pubmed/37003289
Cerebral Oximetry Monitoring in Extremely Preterm Infants.,2023,Mathias L Hansen et al.,1601,Cerebral oximetry group vs Usual care group,Unspecified,Death or severe brain injury on cerebral ultrasonography at 36 weeks' postmenstrual age,"35.2% in the cerebral oximetry group vs 34.0% in the usual-care group (relative risk with cerebral oximetry, 1.03; 95% confidence interval, 0.90 to 1.18; P = 0.64)",Treatment guided by cerebral oximetry monitoring for the first 72 hours after birth was not associated with a lower incidence of death or severe brain injury at 36 weeks' postmenstrual age than usual care.,"This randomized, phase 3 trial with a sample size of 1601 extremely preterm infants (gestational age, <28 weeks) in 17 countries compared the effects of treatment guided by cerebral oximetry monitoring for the first 72 hours after birth vs usual care on the primary outcome of death or severe brain injury on cerebral ultrasonography at 36 weeks' postmenstrual age. The study blinding was unspecified. Results showed no significant difference between the two groups (35.2% in the cerebral oximetry group vs 34.0% in the usual-care group, relative risk with cerebral oximetry, 1.03; 95% confidence interval, 0.90 to 1.18; P = 0.64).",https://pubmed.ncbi.nlm.nih.gov/pubmed/37075142
Bivalent Prefusion F Vaccine in Pregnancy to Prevent RSV Illness in Infants.,2023,Beate Kampmann et al.,"7358 (3682 maternal participants, 3570 infants)",RSVpreF vaccine vs. placebo,Double-blind,Medically attended severe RSV-associated lower respiratory tract illness,"Vaccine efficacy of 81.8% (99.5% CI, 40.6 to 96.3) within 90 days after birth, 69.4% (97.58% CI, 44.3 to 84.1) within 180 days after birth","RSVpreF vaccine administered during pregnancy was effective against medically attended severe RSV-associated lower respiratory tract illness in infants, and no safety concerns were identified.","This double-blind phase 3 trial included 7358 participants (3682 pregnant women and 3558 infants) from 18 countries. The comparison groups were RSVpreF vaccine vs. placebo. The primary outcome was medically attended severe RSV-associated lower respiratory tract illness. Results showed vaccine efficacy of 81.8% (99.5% CI, 40.6 to 96.3) within 90 days after birth and 69.4% (97.58% CI, 44.3 to 84.1) within 180 days after birth, and no safety concerns were identified.",https://pubmed.ncbi.nlm.nih.gov/pubmed/37018474
Efficacy and Safety of a Bivalent RSV Prefusion F Vaccine in Older Adults.,2023,Edward E Walsh et al.,"34,284",RSVpreF Vaccine vs Placebo,Unspecified,Vaccine efficacy against seasonal RSV-associated lower respiratory tract illness with at least two or at least three signs or symptoms and vaccine efficacy against RSV-associated acute respiratory illness,"Vaccine efficacy of 66.7% (96.66% CI, 28.8 to 85.8) for lower respiratory tract illness with at least two signs or symptoms and 85.7% (96.66% CI, 32.0 to 98.7) for lower respiratory tract illness with at least three signs or symptoms; vaccine efficacy of 62.1% (95% CI, 37.1 to 77.9) for RSV-associated acute respiratory illness",RSVpreF vaccine is effective in preventing RSV-associated lower respiratory tract illness and RSV-associated acute respiratory illness in adults (≥60 years of age) without evident safety concerns.,"This phase 3 trial studied the efficacy and safety of an investigational bivalent RSV prefusion F protein-based (RSVpreF) vaccine in adults aged 60 and over. 34,284 participants were randomly assigned to receive the vaccine or placebo, with the primary end points being vaccine efficacy against seasonal RSV-associated lower respiratory tract illness with at least two or at least three signs or symptoms. Results showed that the vaccine had an efficacy of 66.7% (96.66% CI, 28.8 to 85.8) for lower respiratory tract illness with at least two signs or symptoms and 85.7% (96.66% CI, 32.0 to 98.7) for lower respiratory tract illness with at least three signs or symptoms, and an efficacy of 62.1% (95% CI, 37.1 to 77.9) for RSV-associated acute respiratory illness, with no evident safety concerns.",https://pubmed.ncbi.nlm.nih.gov/pubmed/37018468
Phase 3 Trial of Sotatercept for Treatment of Pulmonary Arterial Hypertension.,2023,Marius M Hoeper et al.,323,Sotatercept vs Placebo,Double-blind,Change from baseline at week 24 in the 6-minute walk distance,"Median change from baseline at week 24 in the 6-minute walk distance was 34.4 m (95% CI, 33.0 to 35.5) in the sotatercept group and 1.0 m (95% CI, -0.3 to 3.5) in the placebo group.",Sotatercept resulted in a greater improvement in exercise capacity (as assessed by the 6-minute walk test) than placebo.,"1 ratio to receive subcutaneous sotatercept or placebo every 3 weeks. The primary outcome was the change from baseline at week 24 in the 6-minute walk distance. Results showed that the median change from baseline at week 24 in the 6-minute walk distance was 34.4 m (95% CI, 33.0 to 35.5) in the sotatercept group and 1.0 m (95% CI, -0.3 to 3.5) in the placebo group, indicating that sotatercept resulted in a greater improvement in exercise capacity than placebo.",https://pubmed.ncbi.nlm.nih.gov/pubmed/36877098
